RIVER_NAME,Station_ID,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L)
Turag,SW302,30.3,7.21,7.6,0.17,544,1090,0.56,45.22
Turag,SW302,31,7.6,0.07,0.4,462,838,1.25,90
Turag,SW302,29.89,7.08,2.59,0.1,0.17,270,0.56,45.22
Turag,SW302,30.27,8.78,5.04,0.06,0.11,171.9,0.56,45.22
Turag,SW302,29.1,5.13,4.13,0.31,0.41,168.1,0.56,45.22
Turag,SW302,28.1,6.31,1.8,0.5,571,1141,0.62,132
Turag,SW302,27.31,7.1,4.8,0.5,495,992,0.12,20
Turag,SW302,27.31,7.1,4.8,0.5,495,992,0.12,20
Turag,SW302,30.4,6.6,1.67,0.4,492,984,0.09,97.5
Turag,SW302,30,7.2,8,0.2,53,615,0.15,14
Turag,SW302,27.31,7.57,1.98,0.5,497,995,0.4,124
Turag,SW302,27.31,7.23,0.02,0.6,619,1237,0.01,267.5
Turag,SW302,27.31,7.51,13.56,0.5,497,994,0.03,84.25
Turag,SW302,27.31,8.98,0.28,0.05,516,1050,0.01,198
Turag,SW302,27.31,6.89,5.74,0.5,530,1060,0.14,125
Turag,SW302,26,7.4,7,0.1,4,801,0,100
Buriganga,SW42,24.5,6.93,2.4,0.08,156,244,0.07,49.43
Turag,SW302,24.5,7.04,2.49,0.07,137,212,0.05,45.22
Balu,SW7.5,24.5,7.01,2.29,0.08,163,252,0.45,49.43
Tongi Khal,SW299,24.6,7.1,2.21,0.07,150,230,0.05,50.4
Buriganga,SW42,25.1,6.79,2.12,0.07,112,222,0.07,49.43
Turag,SW302,25.2,6.76,3.18,0.06,119,182,0.14,45.22
Balu,SW7.5,25.1,6.46,2.17,0.09,170,278,1.82,49.43
Tongi Khal,SW299,25.2,6.8,1.44,0.06,124,192,0.27,50.4
Buriganga,SW42,29.83,6.21,4.18,0.07,142,218,0.02,49.43
Turag,SW302,31.38,5.97,2.5,0.06,130,201,0.14,45.22
Balu,SW7.5,31.23,7.05,2.53,0.09,183,290,0.05,49.43
Tongi Khal,SW299,32.7,7.09,1.66,0.06,130,201,1.05,50.4
Buriganga,SW42,32.08,6.49,1.51,0.08,154,240,0.08,6.8
Turag,SW302,33,6.43,0.82,0.06,118,185,0.08,10.1
Tongi Khal,SW299,31.75,6.42,2.84,0.07,131,201,0.03,11
Balu,SW7.5,32.25,6.77,2.09,0.09,176,270,0.14,30
Buriganga,SW42,32.55,6.68,2.88,0.37,579,886,0.13,80.3
Buriganga,SW42,32.76,6.92,0.91,0.5,677,1098,0.1,49.43
Turag,SW302,32.4,6.69,0.89,0.01,704,1141,0.02,45.22
Tongi Khal,SW299,31.8,7.1,1.42,0,42,113,0.06,50.4
Balu,SW7.5,32.85,7.37,1.32,0.01,128,140,0.16,49.43
Buriganga,SW42,32.33,6.51,767,0.56,767,1180,0.1,95.5
Balu,SW7.5,31.61,6.7,702,0.51,702,1084,1.07,98
Turag,SW302,31.8,6.54,895,0.65,895,1381,0,93
Tongi Khal,SW299,31.65,7.34,807,0.58,807,1243,0,66.5
Balu,SW7.5,29.7,7.1,0.85,0.4,641,948,0.41,86
Turag,SW302,29.7,7.58,0.56,0.5,692,1067,0.2,80
Tongi Khal,SW299,29.7,7.8,0.45,0.49,666,1027,0.16,76.1
Buriganga,SW42,29.6,8,0.33,0.37,584,900,0.59,87
Buriganga,SW42,28.9,6.82,1.42,0.3,466,714,0.09,49.43
Tongi Khal,SW299,29.3,7.55,0.48,0.37,579,891,0.02,50.4
Balu,SW7.5,28.9,7.2,0.9,0.37,575,891,0.01,49.43
Turag,SW302,29.3,7.06,0.38,0.33,516,797,0.38,45.22
Buriganga,SW42,23,6.7,0.86,0.3,456,701,0.34,64.25
Tongi Khal,SW299,23,6.72,1.52,0.33,514,791,0.11,54.25
Turag,SW302,23,6.44,1.72,0.97,1287,1973,0.21,56.75
Balu,SW7.5,22.9,6.74,1.11,0.35,542,832,0.01,70.75
Turag,SW302,23.1,6.4,2.6,0.76,310,115,0.05,35.25
Buriganga,SW42,23.1,6.39,1.61,0.5,788,1210,0.07,28.75
Balu,SW7.5,23,640,0.89,0.76,997,1538,0.08,16.5
Tongi Khal,SW299,23.1,6.29,1.3,0.57,788,1211,0.07,21.75
Balu,SW7.5,25.5,7.9,0.23,0.09,185,285,0.43,53
Tongi Khal,SW299,25.3,7.59,0.29,0,216,518,0.05,24
Buriganga,SW42,25.5,7.73,0.21,0.07,136,215,0.29,29
Turag,SW302,25.68,7.15,0.18,0.1,101,133,0.02,41
Tongi Khal,SW299,27.75,7.67,2.07,0.04,82,130,0.03,197
Turag,SW302,27.5,7.98,3.83,0.04,81,129,0.03,225
Buriganga,SW42,28.1,7.7,1.24,0.05,100,153,0.04,37.5
Balu,SW7.5,27.8,7.35,0.82,0.06,126,200,0.04,32.5
Buriganga,SW42,28.18,6.83,2.11,0.24,377,583,0.04,25
Balu,SW7.5,29.4,6.85,0.33,0.34,538,827,0.06,36
Tongi Khal,SW299,29.4,7.5,0.38,0.48,671,1030,0.22,32.5
Turag,SW302,29.5,6.81,0.34,0.22,341,537,0.52,23.5
Turag,SW302,28.58,7.71,0.26,0.24,356,556,0.06,15
Buriganga,SW42,28.8,7.51,0.14,0.08,150,235,0.03,25
Balu,SW7.5,29,7.31,0.01,0.28,435,677,0.29,13.5
Tongi Khal,SW299,29,8.38,0.27,0.25,378,585,0.05,33.5
Balu,SW7.5,29.2,7.52,3.02,0.09,179,276,0.54,22
Buriganga,SW42,28.5,7.8,2.41,0.13,276,421,0.05,30
Turag,SW302,29.05,7.9,4.66,0.09,177,277,0.01,25.5
Tongi Khal,SW299,26.5,8.1,0,0.14,319,491,0.27,24.5
Balu,SW7.5,30.7,5.57,139,0.2,236,472,0.08,25
Buriganga,SW42,30.6,6.59,35.3,0.1,172.1,344,0.1,17
Turag,SW302,30.6,6.52,125.4,0.1,173.5,347,0.47,14
Tongi Khal,SW299,30.9,6.42,3.3,0.1,148.9,298,0.01,12
Balu,SW7.5,30.7,6.37,10.8,0,509,1018,0.37,33
Buriganga,SW42,30.8,6.68,9,0.2,206,411,0.65,18
Turag,SW302,30.7,6.64,10.4,0.1,195,390,0.03,19
Balu,SW7.5,29.8,6.02,145.9,0.1,196.1,392,1.21,13
Buriganga,SW42,29.7,6.68,23.3,0,96.7,284,0.12,45
Turag,SW302,29.9,6.9,19.7,0.1,149.5,299,0.01,22
Balu,SW7.5,31.1,6.79,15.4,0.2,713,907,0.41,137
Tongi Khal,SW299,31.1,6.79,10.5,0.1,230,540,0.69,140
Turag,SW302,31.2,6.88,2.09,0,242,443,0.33,122
Buriganga,SW42,31.2,6.8,7.2,0.1,469,771,0.02,106
Balu,SW7.5,26,6.27,27.9,0.4,370,740,0.45,39
Tongi Khal,SW299,25.7,5.89,17.4,0.1,226,113.1,0.36,62
Buriganga,SW42,25.8,7.06,3.48,0,623,124.6,0.23,55
Turag,SW302,25.6,7.1,7.1,0.5,488,97.6,0.22,57
Buriganga,SW42,22.7,7.15,15.5,0.4,775,338,0.02,39
Balu,SW7.5,22.8,7.07,17.3,0.3,345,690,0.35,41
Tongi Khal,SW299,22.6,7.1,27.3,0.1,435,871,0,47
Turag,SW302,22.8,7.61,15.8,0.1,168.8,690,0,49
Balu,SW7.5,20,7.09,0.4,0.3,317,636,0.11,35
Buriganga,SW42,20,7.21,12.5,0.3,272,545,0.16,30
Tongi Khal,SW299,20,7.4,34.1,0.4,342,685,0,40
Turag,SW302,20,7.08,7.6,0.4,353,705,0.1,33
Balu,SW7.5,25.5,6.97,12,0.1,168.2,336,0.05,29
Buriganga,SW42,25.5,7.1,21.5,0.1,144.7,285,0.05,33
Tongi Khal,SW299,25.5,6.72,16.8,0.1,156.3,312,0.19,29
Turag,SW302,25.5,6.79,16.6,0.1,121.4,243,0.27,20
Buriganga,SW42,27.7,7.14,29.3,0.1,233.7,252,0.31,14
Balu,SW7.5,27.7,7.44,21.3,0.2,331.2,348.3,0.23,24
Tongi Khal,SW299,27.7,7.1,10.6,0.1,215.5,204.8,0.41,15
Turag,SW302,27.7,6.7,13.9,0.1,199.8,210,0.24,18
Buriganga,SW42,30.7,7.14,12.5,0,107.9,216,0.01,45
Tongi Khal,SW299,30.6,6.95,12.6,0,238.17,181.2,0.03,55
Balu,SW7.5,30.6,7.71,14,0,105.9,211,0.03,30
Turag,SW302,30.7,7.04,17.5,0,82.2,164.4,0,20
Buriganga,SW42,32,7.56,0.6,0,85.8,171.6,0.02,15
Turag,SW302,32,6.72,6.4,0,76.8,153.5,0.02,27.5
Balu,SW7.5,32,7.24,0.3,0,80.2,240.1,0.22,20
Tongi Khal,SW299,32,6.49,0.5,0,77.3,154.6,0.03,17.5
Balu,SW7.5,31.7,6.68,0.6,0,92.7,185.6,0.08,32.5
Buriganga,SW42,31.7,6.53,0.5,0.1,171.8,344,0.02,37.5
Tongi Khal,SW299,31.7,6.35,0.6,0,114.3,228,0.12,30
Turag,SW302,31.7,6.63,0.4,0,119.1,238,0.07,27.5
Turag,SW302,30.3,6.27,0.6,0.1,153.4,307,0.12,14
Balu,SW7.5,30.4,6.57,19.2,0.2,239,477,0.45,8
Tongi Khal,SW299,30.3,6.5,0.8,0,96.6,193.2,0.16,14
Buriganga,SW42,30.3,6.8,0.6,0.1,179.9,360,0.29,20
Balu,SW7.5,31.2,7.07,1.1,0.2,271,542,0.16,20
Buriganga,SW42,31,6.47,1.1,0.3,352,705,0.15,26
Turag,SW302,31.1,7.14,2.1,0.4,416,832,0.3,18
Tongi Khal,SW299,31.2,6.93,2.6,0.3,292,583,0.34,16
Buriganga,SW42,31.8,7.02,1.2,0.6,614,1229,0.13,114
Balu,SW7.5,31.7,6.8,2.3,0,69,138,0.26,78
Tongi Khal,SW299,31.7,6.83,1.1,0.4,407,814,0.01,65
Turag,SW302,31.7,7.3,2.2,0.5,512,1025,0.01,104
Tongi Khal,SW299,29.8,6.76,0.4,0.4,412,824,0.03,112
Balu,SW7.5,29.7,6.5,4,0.4,429,861,0,89
Buriganga,SW42,29.9,6.98,0.4,0.6,556,1112,0.02,56
Turag,SW302,29.8,6.81,0.4,0.7,653,1306,0.05,101
Buriganga,SW42,27.2,7.78,0.7,0.4,433,867,0.04,81
Balu,SW7.5,27.1,6.83,15.9,0.5,459,917,0,105
Tongi Khal,SW299,27,6.7,19.6,0.5,512,1024,0.01,99
Turag,SW302,27.3,6.57,5.1,0.5,503,1006,0.4,85
Buriganga,SW42,27.1,6.85,19,0.4,420,839,0,89
Balu,SW7.5,27,7.8,4.1,0.3,331,662,0.14,74
Tongi Khal,SW299,26.8,6.74,3.3,0.4,431,861,0.55,85
Turag,SW302,26.8,6.79,1.5,0.4,416,833,0,57
Balu,SW7.5,25.2,6.51,14.9,0.3,171,541,0.06,52
Tongi Khal,SW299,25,6.28,8.2,0.4,395,791,0.17,67
Buriganga,SW42,24.9,6.41,3.4,0.3,332,664,0,51
Turag,SW302,24.9,7.87,2.5,0.3,320,641,0,46
Balu,SW7.5,22.5,6.41,10.06,0.2,260,520,0.32,62
Buriganga,SW42,22.7,7.17,1.36,0.2,242.5,485,0.01,67
Turag,SW302,23,6.97,1.97,0.2,211.5,423,0.01,74
Tongi Khal,SW299,22.5,6.82,1.55,0.2,210.5,420,0.02,73
Buriganga,SW42,29.2,6,0.95,0,116,232,0.03,81
Balu,SW7.5,29.1,6.2,0.88,0.1,145,290,0,65
Turag,SW302,29.2,6.69,1,0,91.9,183.8,0.01,62
Tongi Khal,SW299,29.4,6.83,1.07,0,104.5,209,0.02,71
Buriganga,SW42,31.5,6.45,0.3,0,88,176,0.23,18
Turag,SW302,31.6,6.29,0.44,0,82.8,165.7,0.34,17.4
Balu,SW7.5,31.7,7.28,0.29,0,82.7,112.9,0.35,12
Tongi Khal,SW299,31.5,7.36,0.4,0,87.2,174.5,0.02,17.8
Buriganga,SW42,33,6.68,3,0.1,110,220,0.3,23
Turag,SW302,32.5,6.88,0.6,0.1,105,210,0.86,20.5
Tongi Khal,SW299,32.8,6.2,0.55,0,80.25,160.5,0.14,15.5
Balu,SW7.5,32,6.5,2.6,0.1,124.25,248.5,0.9,25.5
Balu,SW7.5,32.1,6.3,1.6,0,105.9,212,0.98,20.5
Buriganga,SW42,32.1,6.48,1,0,88.6,177.3,0.38,18
Tongi Khal,SW299,32.1,6.03,0.4,0,78,155.9,0.1,16
Turag,SW302,31.9,6.95,0.4,0,89.6,179.3,0.9,18.8
Tongi Khal,SW299,31.1,7.18,0.4,0,79.4,158.8,0.07,16
Balu,SW7.5,30.9,6.83,5.6,0,120.3,241,0.95,25
Turag,SW302,31,7.12,0.5,0,78.4,156.8,0.83,14.5
Buriganga,SW42,31.1,6.99,5.2,0,90.8,181.6,0.32,16.5
Balu,SW7.5,31.5,6.99,9.6,0.1,231,426,0.46,43
Buriganga,SW42,31.8,6.21,13.4,0.2,267,535,0.15,54
Turag,SW302,31.8,6.83,0.5,0,117,234,0.12,24
Tongi Khal,SW299,31.8,5.1,5.2,0,135.5,271,0.1,26.8
Balu,SW7.5,31.4,6.93,10.7,0.3,324,648,0.38,65.5
Buriganga,SW42,31.5,7.22,8.3,0.3,402,803,0.1,79
Turag,SW302,31.5,7.03,1710,0.4,436,873,0.09,88
Tongi Khal,SW299,31.5,6.95,23,0.4,454,907,0.08,91
Balu,SW7.5,30.7,11.83,10,0.3,317,634,0.14,65
Turag,SW302,30.7,6.72,10.3,0.3,387,773,0.06,78
Tongi Khal,SW299,30.6,6.98,19.3,0.4,424,848,0.05,85
Buriganga,SW42,30.5,6.96,11.6,0.3,365,729,0.06,73
Balu,SW7.5,28.9,11.83,1.04,0.2,256,531,0.12,53
Tongi Khal,SW299,28.9,6.98,12.18,0.4,421,854,0.04,84
Turag,SW302,29,6.72,11.91,0.3,372,743,0.05,75
Buriganga,SW42,28.9,6.96,12.01,0.3,367,733,0.04,72.8
Buriganga,SW42,28.8,6.95,13.93,0.3,333,667,0.05,66.5
Balu,SW7.5,28.8,7.06,0.8,0.2,232,463,0.14,45.5
Turag,SW302,28.9,6.9,4.22,0.2,294,597,0.06,59
Tongi Khal,SW299,28.9,7.37,4.43,0.3,322,644,0.04,65
Balu,SW7.5,21.6,7,0.6,0.1,177.2,354,0.21,36
Buriganga,SW42,21.7,7.15,1.33,0.2,216,432,0.04,42.5
Lakhya,SW180,18.7,7.16,0.61,0.2,208,415,0.2,41
Tongi Khal,SW299,18.7,7.44,0.62,0.2,194.7,389,0.05,40
Lakhya,SW180,25.1,7.37,0.41,0,86.4,172.8,0.26,18.2
Buriganga,SW42,25,7.15,0.55,0,67.6,135.2,0.05,14
Balu,SW7.5,25,7,0.75,0,95.1,190.2,0.25,20
Tongi Khal,SW299,25.1,7.55,3.27,0,65.1,130.2,0.03,12.8
Balu,SW7.5,27.9,7.08,0.86,0,82.5,165.1,0.3,17
Buriganga,SW42,27.9,7.1,0.37,0,89.2,178.4,0.07,18.5
Tongi Khal,SW299,27.6,7.45,0.6,0,69.5,139.1,0.05,14.5
Lakhya,SW180,27.8,7.3,0.52,0,89.3,178.7,0.33,18
Buriganga,SW42,29.3,7.1,0.75,0,79.9,159.7,0.08,16.6
Tongi Khal,SW299,29.2,7.52,1.25,0,56.7,113.3,0.04,1
Balu,SW7.5,29.2,7.05,0.74,0,76.3,152.6,0.28,16
Lakhya,SW180,29.3,7.2,0.86,0,61.9,123.8,0.37,13
Balu,SW7.5,29.1,6.98,0.4,0,82.1,164.2,0.18,17.2
Lakhya,SW180,29.1,7.15,0.45,0,74.2,148.3,0.06,15
Buriganga,SW42,29.1,7.06,0.55,0,68.8,137.5,0.37,14.5
Tongi Khal,SW299,29,7.43,3.57,0,66,132.1,0.39,12.7
Lakhya,SW180,29.4,7.06,0.63,0,69.7,139.3,0.29,14
Buriganga,SW42,29.3,6.93,0.53,0,61.9,123.8,0.22,12
Balu,SW7.5,29.4,6.76,0.52,0,81.8,163.6,0.27,16
Tongi Khal,SW299,29,7.52,3.15,0,57,114,0.38,11
Tongi Khal,SW299,28.9,7,1.23,0,114.2,228,0.66,23
Buriganga,SW42,28.8,6.75,0.52,0.2,224,448,0.17,46
Buriganga,SW42,28.8,6.75,0.52,0.2,224,448,0.17,46
Balu,SW7.5,28.8,7.75,3.17,0,194.2,388,0.81,38.5
Lakhya,SW180,28.8,7.11,0.67,0,91.7,183.4,0.2,17.5
Tongi Khal,SW299,30.5,6.92,20.5,0.3,369,739,0.14,74
Lakhya,SW180,28.8,7.15,1,0,113.3,227,0.08,17.5
Lakhya,SW180,28.8,7.15,1,0,113.3,227,0.08,22.5
Balu,SW7.5,30.4,7.7,2.22,0.2,301,601,0.21,60
Buriganga,SW42,30.5,6.9,1.16,0.3,357,713,0.38,70.5
Buriganga,SW42,21.7,7.15,1.33,0.2,216,432,0.04,42.5
Balu,SW7.5,30.4,7.5,3.39,0.4,437,875,-0.31,87
Buriganga,SW42,30.4,6.85,2.49,0.5,502,1003,0.04,100
Tongi Khal,SW299,30.4,6.89,2.27,0.4,430,860,0.06,85
